District Number,Mincode,Display Name,Mailing Address,Mailing Address Line2,Mailing Address City,Mailing Address Province,Mailing Address PostalCode,Physical Address,Physical Address Line2,Physical Address City,Physical Address Province,Physical Address Postal Code,Role,Contact First Name,Contact Last Name,Contact Phone Extension,Contact Phone Number,Facility Type Code,School Category Code,Phone Number,Fax,Email,Website,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
036,03636173,Bothwell Elementary School,17070 102 AVE,,SURREY,BC,V4N4N6,,,,,,Principal,Krissy,Eppele,,,Standard,Public,6045890369,6045815345,bothwell@surreyschools.ca,,,,,
036,03636141,Fraser Heights Secondary,16060 108 AVE,,SURREY,BC,V4N1M1,,,,,,,Pen,Contact,,,Standard,Public,6045829231,6045829268,fraserheights@surreyschools.ca,,,,,
036,03636175,Clayton Heights Secondary,7003 188 ST,,SURREY,BC,V4N3G6,,,,,,Principal,Ian,Mcgennis,,,Standard,Public,6045764138,6045764793,claytonheights@surreyschools.ca,,,,,
036,03636144,Boundary Park Elementary,12332 NORTH BOUNDARY DR,,SURREY,BC,V3X1Z6,,,,,,,Pen,Contact,,,Standard,Public,6045438158,6045435197,boundarypark@surreyschools.ca,,,,,
036,03696675,Surrey Muslim School,119-7475 135 ST,,SURREY,BC,V3W0M8,,,,,,Manager of Academic Operations,Hanaa,Bachir,,6045996608,Standard,Independent,6045996608,6045996790,sansari@bcmaschools.ca,,01,01,01,
036,03696797,Sikh Academy,12895-85 AVE,,SURREY,BC,V3W0K8,,,,,,,Raymond,Mba,,,Standard,Independent,6045993828,6045993824,raymond.mba@sikhacademy.ca,,01,01,,
036,03636189,Rosemary Heights Elementary,15516 36 AVE,,SURREY,BC,V3Z0J5,,,,,,,Lisa,Belanger,,,Standard,Public,6045411613,6045310448,rosemaryheights@surreyschools.ca,,,,,
036,03636203,Hazelgrove Elementary,7057 - 191 STREET,,SURREY,BC,V4N6E5,,,,,,,Pen,Contact,,,Standard,Public,6045740044,6045742760,hazelgrove@surreyschools.ca,,,,,
036,03625110,Betty Huff StrongStart Centre,13055 HUNTLEY AVE,,SURREY,BC,V3V1V1,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045853104,6045851524,bettyhuff@surreyschools.ca,,,,,
036,03625109,Holly StrongStart Centre,10719 150 ST,,SURREY,BC,V3R4C8,,,,,,Principal,Lauretta,Fenrick,,,StrongStart Center,Early Learning,6045852566,,holly@surreyschools.ca,,,,,
036,03625111,Lena Shaw StrongStart Centre,14250 100A AVE,,SURREY,BC,V3T1K8,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045811363,,lenashaw@surreyschools.ca,,,,,
036,03625112,Bear Creek StrongStart Centre,13780 80 AVE,,SURREY,BC,V3W7X6,,,,,,Principal,Kristen,MacDonald,,6045726911,StrongStart Center,Early Learning,6045947501,,bearcreek@surreyschools.ca,,,,,
036,03625115,Old Yale Road StrongStart Centre,10135 132 ST,,SURREY,BC,V3T3T6,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045885468,,oldyale@surreyschools.ca,,,,,
036,03625114,Forsyth Road StrongStart Centre,10730 139 ST,,SURREY,BC,V3T4L9,,,,,,Principal,Kam,Grewal,,,StrongStart Center,Early Learning,6045888394,,forsythroad@surreyschools.ca,,,,,
036,03625108,W.E. Kinvig StrongStart Centre,13266 70B AVE,,SURREY,BC,V3W8N1,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045941135,,wekinvig@surreyschools.ca,,,,,
036,03625113,M.B. Sanford StrongStart Centre,7318 143 ST,,SURREY,BC,V3W7T6,,,,,,Principal,Aimee,Boyer,,,StrongStart Center,Early Learning,6045967517,,mbsanford@surreyschools.ca,,,,,
036,03625231,Hjorth Road StrongStart Centre,14781 104 AVE,,SURREY,BC,V3R5X4,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045812327,,hjorthroad@surreyschools.ca,,,,,
036,03625232,Jessie Lee StrongStart Centre,2064 154 ST,,SURREY,BC,V4A4S3,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045318833,,jessielee@surreyschools.ca,,,,,
036,03625233,Martha Currie StrongStart Centre,5811 184 ST,,SURREY,BC,V3S4N2,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045768551,,marthacurrie@surreyschools.ca,,,,,
036,03625234,George Greenaway StrongStart Centre,17285 61A AVE,,SURREY,BC,V3S1W3,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045761136,6045767952,georgegreenaway@surreyschools.ca,,,,,
036,03625236,Westerman StrongStart Centre,7626 122 ST,,SURREY,BC,V3W1H4,,,,,,Principal,Brenda,Keller,,6045724054,StrongStart Center,Early Learning,6045724054,,westerman@surreyschools.ca,,,,,
036,03625237,Cedar Hills StrongStart Centre,12370 98 AVE,,SURREY,BC,V3V2K3,,,,,,Principal,Christian,Oskam,,6045810407,StrongStart Center,Early Learning,6045810407,,cedarhills@surreyschools.ca,,,,,
036,03625238,Mary Jane Shannon StrongStart Centre,10682 144 ST,,SURREY,BC,V3T4W1,,,,,,Principal,Zahara,Rawji,,6045885991,StrongStart Center,Early Learning,6045885991,6045813763,mjshannon@surreyschools.ca,,,,,
036,03625239,Panorama Park StrongStart Centre,12878 62 AVE,,SURREY,BC,V3X2E8,,,,,,Principal,Zahra,Kabani,,6045960963,StrongStart Center,Early Learning,6045960963,,panoramapark@surreyschools.ca,,,,,
036,03625240,Cindrich StrongStart Centre,13455 90 AVE,,SURREY,BC,V3V8A2,,,,,,,Strongstart,Clerk,,,StrongStart Center,Early Learning,6045903211,6045903354,cindrich@surreyschools.ca,,,,,
036,03636153,Adams Road Elementary,18228 68 AVE,,SURREY,BC,V3S9H5,,,,,,,Pen,Contact,,,Standard,Public,6045951070,6045951071,adamsroad@surreyschools.ca,,,,,
036,03636212,Woodward Hill Elementary,6082 142 ST,,SURREY,BC,V3X1C1,,,,,,Principal,Brad,Issel,,,Standard,Public,6045942408,6045942336,woodwardhill@surreyschools.ca,,,,,
036,03636184,Maddaugh Elementary,19405 76 AVE,,SURREY,BC,V4N6C6,,,,,,Principal,Antonio,Vendramin,,,Standard,Public,,,maddaugh@surreyschools.ca,,,,,
036,03696923,Newbridge Academy,246-1959 152 ST,,SURREY,BC,V4A9E3,,,,,,,Ivy,Dong,,,Standard,Independent,7782910110,,admin@newbridge-academy.ca,,02,02,,
036,03696912,Gobind Sarvar School,8820 168 ST,,SURREY,BC,V4N6G7,,,,,,Secretary,Poonam,Kalkat,,6049302122,Standard,Independent,6049302122,6044971122,info@gobindsarvar.ca,https://www.gobindsarvar.ca/,01,01,01,01
036,03696972,Al-Mustafa School,5441 125A STREET,,SURREY,BC,V3X1W6,,,,,,,M,Asad,,,Standard,Independent,6049002773,,info@amabc.com,,01,,,
036,03636206,Edgewood Elementary,16666 23 AVE,,SURREY,BC,V3Z9X8,,,,,,Principal,Lys,Paredes,,,Standard,Public,,,edgewood@surreyschools.ca,,,,,
036,03636180,Douglas Elementary,17325 2 AVE,,SURREY,BC,V3Z9P9,,,,,,,Andrea,Mcquarrie,,6045850180,Standard,Public,,,douglas@surreyschools.ca,,,,,
036,03636177,Grandview Heights Secondary,16987 25 AVE,,SURREY,BC,V3S9V2,,,,,,,Odette,Silvestre,,,Standard,Public,6045423320,7785371923,grandview@surreyschools.ca,,,,,
036,03636574,City Central Learning Centre,13104 109 AVE,,SURREY,BC,V3T2N7,,,,,,,Pen,Contact,,,Standard,Public,6045810611,6045892273,citycentrallc@surreyschools.ca,,,,,
036,03636593,Cloverdale Learning Centre,200-5658 176 ST,,SURREY,BC,V3S4C6,,,,,,,Pen,Contact,,,Standard,Public,6045743615,6045749803,cloverdalelc@surreyschools.ca,,,,,
036,03636594,Guildford Learning Centre,300-10183 152A ST,,SURREY,BC,V3R4H6,,,,,,,Pen,Contact,,,Standard,Public,6049519553,6049518982,guildfordlc@surreyschools.ca,,,,,
036,03636591,North Surrey Learning Centre,9260 140 ST,,SURREY,BC,V3V5Z4,,,,,,Principal,Jewell,Bondar,,,Standard,Public,6045834040,6045835600,northsurreylc@surreyschools.ca,,,,,
036,03636592,South Surrey/White Rock Learning Centre,13-2320 KING GEORGE HWY,,SURREY,BC,V4A5A5,,,,,,Principal,Vim,Valera,,,Standard,Public,6045360550,6045358046,whiterocklc@surreyschools.ca,,,,,
036,03699317,SD 36 Alternate Cloverdale LC,5658 176 STREET,,SURREY,BC,V3R4H9,,,,,,,Pen,Contact,,,Alternate Programs,Public,6045743615,6045749803,cloverdalelc@surreyschools.ca,,,,,
036,03699318,SD 36 Alternate Guildford LC,10183 152A ST,,SURREY,BC,V3R4H6,,,,,,,Pen,Contact,,,Alternate Programs,Public,6049519553,6049518982,guildfordlc@surreyschools.ca,,,,,
036,03699319,SD 36 Alternate North Surrey LC,9260 140 ST,,SURREY,BC,V3V5Z4,,,,,,,Pen,Contact,,,Alternate Programs,Public,6045834040,6045835600,nsurwl@surreyschools.ca,,,,,
036,03699320,SD 36 Alternate S.Surrey/White Rock LC,13-2320 KING GEORGE BLVD,,SURREY,BC,V4A5A5,,,,,,Principal,Vim,Valera,,,Alternate Programs,Public,6045360550,6045358046,whiterocklc@surreyschools.ca,,,,,
036,03699316,SD 36 Alternate City Central LC,13104 109 AVE,,SURREY,BC,V3T2N7,,,,,,Principal,Doug,Litke,,,Alternate Programs,Public,6045810611,6045892273,citycentrallc@surreyschool.ca,,,,,
036,03636218,Regent Road Elementary,18711 74 AVE,,SURREY,BC,V4N6C2,,,,,,Principal,Darien,Russell,,,Standard,Public,,,regentroad@surreyschools.ca,,,,,
036,03636522,Continuing Ed SD36 (Queen Elizabeth),9457 KING GEORGE BLVD,,SURREY,BC,V3V5W4,,,,,,Principal,Derek,Strauss,,,Continuing Education,Public,,,,,,,,
036,03636242,SAIL Secondary,14123 92 AVE,,SURREY,BC,V3V1J7,,,,,,Principal,Rex,Hayes,,,Standard,Public,6045924263,6045956346,sailacademy@surreyschools.ca,,,,,
036,03696941,St John Paul II Academy,15262 PACIFIC AVE,,WHITE ROCK,BC,V4B1P7,,,,,,,Susan,Kelly,,,Standard,Independent,6045608210,6045608209,lparuzzolo@sjp2academy.com,,,,01,01
036,03696321,Star of the Sea,15024 24 AVE,,SURREY,BC,V4A2H8,,,,,,,Shannon,Toebaert,,,Standard,Independent,6045316316,6045310171,jborkowski@sosschool.ca,,01,01,,
036,03636525,SD 36 Education Services (Type 1),14033 92 AVE,,SURREY,BC,V3V0B7,,,,,,,Pen,Contact,,,Standard,Public,6045956436,6045956400,edsc-school@surreyschools.ca,,,,,
036,03636063,McLeod Road Traditional,6325 142 ST,,SURREY,BC,V3X1B9,,,,,,Principal,Carin,Porcellato,,,Standard,Public,6045951060,6045951059,mcleodroad@surreyschools.ca,,,,,
036,03696989,G.N. Sikh Elementary School,7050 120TH ST,,SURREY,BC,V3W3M8,,,,,,,Harpal,Singh,,,Standard,Independent,7789294009,,admin@gnsikhschool.ca,,02,,,
036,03696720,Traditional Learning Academy Online,103-17688 66 Ave,,SURREY,BC,V3S7X1,,,,,,Principal,Gabriel,Linder,,6045758596,Provincial Online Learning,Independent,6045758596,6045758565,principal@schoolathome.ca,https://www.schoolathome.ca,,,,
036,03696026,Crescent Heights Academy,18620 56 Ave,,Surrey,BC,V3S1G1,,,,,,,Laurel,Middelaer,,6044272282,Standard,Independent,6045761146,6045769746,info@diamondschool.ca,,,,,
036,03636150,Tamanawis Secondary,12600 66 AVE,,SURREY,BC,V3W2A8,,,,,,,Pen,Contact,,,Standard,Public,6045975234,6045974450,tamanawis@surreyschools.ca,,,,,
036,03696866,St Matthew's Elementary,16065 88 AVE,,SURREY,BC,V4N1G3,,,,,,,Patrizia,Rossi,,,Standard,Independent,6045897545,6045897113,principal@stmatthewselementary.ca,,01,01,,
